Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM110,Superbad,2007,18+,76,83,40,11,24,Greg Mottola,Netflix,Movie
NM111,The Invisible Guest,2016,18+,81,83,41,0,0,Oriol Paulo,Netflix,Movie
NM112,Chinatown,1974,18+,82,82,41,0,0,Roman Polanski,Netflix,Movie
NM113,Mystic River,2003,18+,79,82,42,57,143,Clint Eastwood,Netflix,Movie
NM114,The Theory Of Everything,2014,13+,77,82,38,26,123,James Marsh,Netflix,Movie
NM115,Springsteen On Broadway,2018,all,85,82,85,1,1,Thom Zimny,Netflix,Movie
NM116,The Life Ahead,2020,13+,68,82,45,8,24,Edoardo Ponti,Netflix,Movie
NM117,The Terminal,2004,13+,74,82,32,7,8,Steven Spielberg,Netflix,Movie
NM118,Scott Pilgrim Vs. The World,2010,13+,75,82,38,17,64,Edgar Wright,Netflix,Movie
NM119,Being Elmo: A Puppeteer'S Journey,2011,7+,76,82,56,8,8,Constance Marks,Netflix,Movie
NM120,Life Of Brian,1979,18+,81,82,42,0,0,Terry Jones,Netflix,Movie
NM121,The Resistance Banker,2018,18+,69,82,45,7,9,Joram Lürsen,Netflix,Movie
NM122,How To Train Your Dragon 2,2014,7+,78,82,41,15,61,Dean DeBlois,Netflix,Movie
NM123,The Endless Trench,2019,all,72,82,62,21,44,Aitor Arregi,Netflix,Movie
NM124,Even The Rain,2010,all,74,82,38,21,17,Icíar Bollaín,Netflix,Movie
NM125,Love Actually,2003,18+,76,82,32,10,29,Richard Curtis,Netflix,Movie
NM126,Dear Ex,2018,18+,74,82,71,11,18,Chih-Yen Hsu,Netflix,Movie
NM127,Braven,2018,18+,59,82,33,0,0,Lin Oeding,Netflix,Movie
NM128,Period. End Of Sentence.,2018,all,74,82,60,13,1,Rayka Zehtabchi,Netflix,Movie
NM129,Captain Fantastic,2016,18+,79,82,39,15,50,Matt Ross,Netflix,Movie
NM130,Veronica,2017,18+,62,81,11,4,5,Elizabeth Banks,Netflix,Movie
NM131,The Siege Of Jadotville,2016,all,72,81,34,3,4,Richie Smyth,Netflix,Movie
NM132,Into The Inferno,2016,all,72,81,53,0,5,Werner Herzog,Netflix,Movie
NM133,Ricky Gervais: Humanity,2018,18+,80,81,32,0,0,John L. Spencer,Netflix,Movie
NM134,A Whisker Away,2020,7+,67,81,57,0,1,Jun'ichi Satô,Netflix,Movie
NM135,Lady Bird,2017,18+,74,81,45,116,224,Greta Gerwig,Netflix,Movie
NM136,Road To Perdition,2002,18+,77,81,38,23,82,Sam Mendes,Netflix,Movie
NM137,Boogie Nights,1997,18+,79,81,43,36,64,Paul Thomas Anderson,Netflix,Movie
NM138,Total Recall,1990,16+,75,81,36,7,16,Paul Verhoeven,Netflix,Movie
NM139,Bo Burnham: Inside,2021,18+,88,81,42,0,0,Bo Burnham,Netflix,Movie
NM140,Snowpiercer,2013,18+,71,81,41,34,105,Bong Joon-ho,Netflix,Movie
NM141,Circus Of Books,2019,all,71,81,72,2,3,Rachel Mason,Netflix,Movie
NM142,Tallulah,2016,all,67,81,36,0,1,Sian Heder,Netflix,Movie
NM143,The Conjuring 2,2016,18+,73,81,36,4,13,James Wan,Netflix,Movie
NM144,They'Ll Love Me When I'M Dead,2018,18+,74,81,39,0,0,Morgan Neville,Netflix,Movie
NM145,Nocturnal Animals,2016,18+,75,81,36,20,148,Tom Ford,Netflix,Movie
NM146,Get Me Roger Stone,2017,16+,73,81,53,2,0,Dylan Bank,Netflix,Movie
NM147,Hachi: A Dog'S Tale,2009,all,81,81,36,0,1,Lasse Hallström,Netflix,Movie
NM148,Dances With Wolves,1990,13+,80,80,39,51,38,Kevin Costner,Netflix,Movie
NM149,Udta Punjab,2016,18+,78,80,42,11,23,Abhishek Chaubey,Netflix,Movie
NM150,Bareilly'S Barfi,2017,all,75,80,37,9,21,Ashwiny Iyer Tiwari,Netflix,Movie
NM151,Divines,2016,all,74,80,44,14,12,Houda Benyamina,Netflix,Movie
NM152,Maktub,2017,7+,73,80,87,4,1,Oded Raz,Netflix,Movie
NM153,Ittefaq,2017,7+,72,80,41,0,5,Abhay Chopra,Netflix,Movie
